videoId,topic
z7Qp9Q_Br88,Entertainment
lRvN5SJR2LQ,Health
lRvN5SJR2LQ,Knowledge
onFj_RD75nA,Health
onFj_RD75nA,Knowledge
h3DCdWyb0cc,Society
MX_r0KsMpho,Knowledge
iZ9ImJQy9V4,Health
iZ9ImJQy9V4,Knowledge
5Xd38M9zTjM,Knowledge
YHlqwkdVda8,Health
YHlqwkdVda8,Knowledge
MP4RUzRnobg,Health
MP4RUzRnobg,Knowledge
KTu2V65Iiho,Health
qPSxUkssPmc,Health
dwZgy7SNMRc,Health
mWN2IefeJow,Knowledge
bRkxPsuVEeU,Health
zg40FHOAqC0,Knowledge
OU36JDGzXb0,Knowledge
H4KMQuyxH_Y,Health
1bQsvHqSfpU,Knowledge
KNwMiydCYA4,Knowledge
T6tCY6SOSXo,Health
T6tCY6SOSXo,Knowledge
zozEm4f_dlw,Society
omNvSHfIv7s,Health
fAkMppZZiSI,Knowledge
OxOx6--oN8I,Entertainment
nDKHvoo4f-8,Knowledge
pt0iG95Fsmc,Society
Ghy3qRR6kiw,Technology
cE0zgN6pYOc,Knowledge
ty0WVFjOkok,Knowledge
mxG0ts7qmq0,Knowledge
VMm-U2pHrXE,Knowledge
V7wlYQ2_Q8o,Health
V7wlYQ2_Q8o,Knowledge
Zpq1GbPqhy4,Health
XFODuRPv8Yw,Casual_game
XFODuRPv8Yw,Strategy_video_game
XFODuRPv8Yw,Video_game_culture
XunabxHzMuM,Action-adventure_game
XunabxHzMuM,Casual_game
XunabxHzMuM,Puzzle_video_game
XunabxHzMuM,Strategy_video_game
XunabxHzMuM,Video_game_culture
K1J9LNElrso,Knowledge
aOwmt39L2IQ,Health
x7IrzHMxEMM,Knowledge
xP2tHAXjZhI,Health
xP2tHAXjZhI,Knowledge
rHQeg5EtqDQ,Knowledge
2ukNLhC8N4Y,Knowledge
efOW5NUTYB8,Health
EJoJzLaIcEc,Knowledge
6TcFvx8ajD4,Knowledge
Ce9kHZQk3MI,Casual_game
Ce9kHZQk3MI,Puzzle_video_game
Ce9kHZQk3MI,Video_game_culture
o7aXV_PV4ss,Knowledge
m6KnVTYtSc0,Society
kYOkrswU1KE,Entertainment
kYOkrswU1KE,Film
kYOkrswU1KE,Health
MDZ2iWN0ZSI,Knowledge
UjAJ2jKH_QM,Health
Ufmu1WD2TSk,Society
PHI07XtbfVA,Health
PHI07XtbfVA,Knowledge
wo_e0EvEZn8,Health
joYJahY4FUI,Knowledge
FPZuklD9eRg,Health
FPZuklD9eRg,Knowledge
KmgRBiRMmAU,Entertainment
0pyGPK3fG4U,Entertainment
Pkbhn8sIWuw,Knowledge
vC9BeyIlcYo,Health
9zCH37330f8,Health
reSfF60-2S4,Society
BmUZ2wp1lM8,Knowledge
cHEOsKddURQ,Health
bgo7rm5Maqg,Society
v6WMAD5wNKs,Video_game_culture
tDStIeOWc40,Knowledge
SbvAaDN1bpE,Health
SbvAaDN1bpE,Society
vSSkDos2hzo,Health
vSSkDos2hzo,Physical_fitness
dIpttD7b8B4,Entertainment
_kelDJFjhOo,Knowledge
dBxxi5XAm3U,Society
W-x9d-nhal4,Health
W-x9d-nhal4,Knowledge
cRZOUcpiOxY,Health
xswF0mRay_8,Knowledge
92Y7SCDgCLg,Knowledge
n2sn4kkkGQM,Knowledge
GFLb5h2O2Ww,Health
GFLb5h2O2Ww,Society
_z7DkeP5WNg,Health
fcIWyctZVTM,Casual_game
fcIWyctZVTM,Puzzle_video_game
fcIWyctZVTM,Video_game_culture
BLW4hCFwSXE,Entertainment
i8wAjC69ZuY,Knowledge
OvKr6loCciE,Entertainment
OvKr6loCciE,Film
BNAgDOZCydY,Health
BNAgDOZCydY,Knowledge
L_JQOH1tEEA,Knowledge
DRjmRNsPl1M,Health
DRjmRNsPl1M,Knowledge
pjoQdz0nxf4,Knowledge
cUD8Nt0JDlw,Knowledge
8ILQMRr1-8M,Health
i981tDgvhPg,Knowledge
Oj_OwYR9jGQ,Knowledge
isdLel273rQ,Knowledge
LrIRuqr_Ozg,Society
Pj20omaP7WI,Knowledge
W1Qyv6EI2hE,Knowledge
ld4K5nw9gsk,Knowledge
8_cAY_rQpzM,Knowledge
6AWYgNArZZw,Knowledge
Chh2lgGe2YE,Entertainment
Chh2lgGe2YE,Health
nGggU-Cxhv0,Health
JOiGEI9pQBs,Knowledge
LBudghsdByQ,Society
BxXzzAEEhCA,Knowledge
4Stzj2_Rlo4,Knowledge
wmP3MBjsx20,Society
cFslUSyfZPc,Knowledge
Kr57ax0OWMk,Health
Kr57ax0OWMk,Society
28T91fgkpkA,Knowledge
4TlyzKBm5yw,Knowledge
kblSnj0p6bE,Knowledge
FPKRFw2jrnU,Knowledge
9FppammO1zk,Society
_arb8Fu3LXo,Entertainment
XFM4tCakAXY,Knowledge
uoJwt9l-XhQ,Health
uoJwt9l-XhQ,Society
BNvL_uZhTsY,Knowledge
V4Z8EdiJxgk,Knowledge
LNv4y3wPQA0,Knowledge
hvmIZAvt3jE,Entertainment
hvmIZAvt3jE,Food
