videoId,title,publishedAt,duration,viewCount,likeCount,commentCount,thumbnailUrl,publish_date,publish_hour,publish_time,duration_seconds
RniYUmKs93U,Pigeons Are GPS Drones,2026-04-30 14:00:48+00:00,00:01:07,248791,15884,359,https://i.ytimg.com/vi/RniYUmKs93U/mqdefault.jpg,2026-04-30,14,14:00:48,67
z7Qp9Q_Br88,Laughing Gas Is Not So Funny,2026-04-27 14:01:38+00:00,00:01:15,540231,29787,793,https://i.ytimg.com/vi/z7Qp9Q_Br88/mqdefault.jpg,2026-04-27,14,14:01:38,75
FZbMPtLRr00,Fast-Forward Your Life,2026-04-23 14:00:23+00:00,00:01:05,554322,21353,855,https://i.ytimg.com/vi/FZbMPtLRr00/mqdefault.jpg,2026-04-23,14,14:00:23,65
dl0-TveDDGA,Our Minds Are Weirder than You Think,2026-04-21 14:00:01+00:00,00:12:22,1700281,84723,3222,https://i.ytimg.com/vi/dl0-TveDDGA/mqdefault.jpg,2026-04-21,14,14:00:01,742
VYhUa3WC4nU,Why Being Poor Is Expensive,2026-04-16 14:00:55+00:00,00:01:13,1616863,102768,3084,https://i.ytimg.com/vi/VYhUa3WC4nU/mqdefault.jpg,2026-04-16,14,14:00:55,73
lRvN5SJR2LQ,How Caffeine Works,2026-04-13 14:01:13+00:00,00:01:12,816083,39969,837,https://i.ytimg.com/vi/lRvN5SJR2LQ/mqdefault.jpg,2026-04-13,14,14:01:13,72
onFj_RD75nA,The World’s Deadliest Diseases,2026-04-09 14:01:19+00:00,00:01:12,676376,32975,776,https://i.ytimg.com/vi/onFj_RD75nA/mqdefault.jpg,2026-04-09,14,14:01:19,72
h3DCdWyb0cc,The Most Insane Megaproject You Never Heard About,2026-03-30 14:00:12+00:00,00:13:06,2921961,108190,4863,https://i.ytimg.com/vi/h3DCdWyb0cc/mqdefault.jpg,2026-03-30,14,14:00:12,786
MX_r0KsMpho,Spaceships Powered by Nukes,2026-03-23 15:00:38+00:00,00:01:09,1002133,43047,857,https://i.ytimg.com/vi/MX_r0KsMpho/mqdefault.jpg,2026-03-23,15,15:00:38,69
NXhKuMQRAZ4,Queen Ant Clones Another Species,2026-03-16 15:00:43+00:00,00:01:10,604258,31149,495,https://i.ytimg.com/vi/NXhKuMQRAZ4/mqdefault.jpg,2026-03-16,15,15:00:43,70
yDAAlojz8NU,This Is the Scariest Place in The Universe,2026-03-10 15:00:01+00:00,00:09:14,6602714,241080,9385,https://i.ytimg.com/vi/yDAAlojz8NU/mqdefault.jpg,2026-03-10,15,15:00:01,554
iZ9ImJQy9V4,The Injection That Stops HIV,2026-03-09 15:01:12+00:00,00:01:06,855734,43218,779,https://i.ytimg.com/vi/iZ9ImJQy9V4/mqdefault.jpg,2026-03-09,15,15:01:12,66
5Xd38M9zTjM,Let’s Tie All Planets Together,2026-03-07 15:00:07+00:00,00:00:59,2128790,51467,859,https://i.ytimg.com/vi/5Xd38M9zTjM/mqdefault.jpg,2026-03-07,15,15:00:07,59
YHlqwkdVda8,Who Owns Your Drinking Water?,2026-03-05 15:01:05+00:00,00:01:14,1821531,82017,1622,https://i.ytimg.com/vi/YHlqwkdVda8/mqdefault.jpg,2026-03-05,15,15:01:05,74
MP4RUzRnobg,This Parasite Won’t Die,2026-02-26 15:00:39+00:00,00:01:09,953741,43180,737,https://i.ytimg.com/vi/MP4RUzRnobg/mqdefault.jpg,2026-02-26,15,15:00:39,69
KTu2V65Iiho,Why Does Cocaine Feel So Good?,2026-02-19 15:00:37+00:00,00:01:12,2833317,182105,3128,https://i.ytimg.com/vi/KTu2V65Iiho/mqdefault.jpg,2026-02-19,15,15:00:37,72
qPSxUkssPmc,Why Is Polio Back?,2026-02-16 15:02:57+00:00,00:01:16,1411214,73610,2068,https://i.ytimg.com/vi/qPSxUkssPmc/mqdefault.jpg,2026-02-16,15,15:02:57,76
5EPPBDdhe6o,The Worm with 4 Nobel Prizes,2026-02-14 15:00:15+00:00,00:01:06,1440353,76103,934,https://i.ytimg.com/vi/5EPPBDdhe6o/mqdefault.jpg,2026-02-14,15,15:00:15,66
dwZgy7SNMRc,The Virus We Almost Beat,2026-02-11 15:01:13+00:00,00:01:19,2301211,109438,2755,https://i.ytimg.com/vi/dwZgy7SNMRc/mqdefault.jpg,2026-02-11,15,15:01:13,79
mWN2IefeJow,The Lake That Killed a Village,2026-02-09 15:01:20+00:00,00:01:15,985084,46134,671,https://i.ytimg.com/vi/mWN2IefeJow/mqdefault.jpg,2026-02-09,15,15:01:20,75
bRkxPsuVEeU,Zombie Proteins in Your Brain!,2026-01-29 17:41:55+00:00,00:01:12,855982,40892,654,https://i.ytimg.com/vi/bRkxPsuVEeU/mqdefault.jpg,2026-01-29,17,17:41:55,72
zg40FHOAqC0,Jupiter Made Earth Possible,2026-01-22 15:01:42+00:00,00:01:12,1943625,84041,1639,https://i.ytimg.com/vi/zg40FHOAqC0/mqdefault.jpg,2026-01-22,15,15:01:42,72
D0WQK7cMJn8,We Made A New Channel!,2026-01-16 15:30:05+00:00,00:03:03,2055355,85589,2554,https://i.ytimg.com/vi/D0WQK7cMJn8/mqdefault.jpg,2026-01-16,15,15:30:05,183
OU36JDGzXb0,Planets Around Black Holes,2026-01-15 15:00:45+00:00,00:01:16,2123194,88188,1469,https://i.ytimg.com/vi/OU36JDGzXb0/mqdefault.jpg,2026-01-15,15,15:00:45,76
hDU9WcmQA2E,Let’s Cook a Planet!,2026-01-12 15:01:31+00:00,00:01:11,3124842,162049,3852,https://i.ytimg.com/vi/hDU9WcmQA2E/mqdefault.jpg,2026-01-12,15,15:01:31,71
sravy3Vjdlw,Nature’s Ultimate Impostor,2026-01-08 15:01:44+00:00,00:01:21,1342630,70806,971,https://i.ytimg.com/vi/sravy3Vjdlw/mqdefault.jpg,2026-01-08,15,15:01:44,81
pHJIhxZEoxg,Why Are There No Holes Around Trees?,2026-01-07 15:00:13+00:00,00:11:21,4041605,164149,4672,https://i.ytimg.com/vi/pHJIhxZEoxg/mqdefault.jpg,2026-01-07,15,15:00:13,681
UnrtLi7YIY4,We Made A New Journal,2025-12-30 15:01:04+00:00,00:01:17,287802,9049,477,https://i.ytimg.com/vi/UnrtLi7YIY4/mqdefault.jpg,2025-12-30,15,15:01:04,77
UC5Mpc-GQCg,The Moon’s Invisible Threat,2025-12-18 15:00:53+00:00,00:01:25,3963028,178862,2147,https://i.ytimg.com/vi/UC5Mpc-GQCg/mqdefault.jpg,2025-12-18,15,15:00:53,85
H4KMQuyxH_Y,Tattoo Removal Is Insane,2025-12-12 15:00:02+00:00,00:12:54,3438083,114276,5881,https://i.ytimg.com/vi/H4KMQuyxH_Y/mqdefault.jpg,2025-12-12,15,15:00:02,774
1bQsvHqSfpU,How to Destroy a Black Hole,2025-12-11 15:00:03+00:00,00:02:28,1605925,96961,1878,https://i.ytimg.com/vi/1bQsvHqSfpU/mqdefault.jpg,2025-12-11,15,15:00:03,148
KNwMiydCYA4,All Of Human History In One Hour,2025-12-05 15:00:03+00:00,01:03:23,3137428,110295,5907,https://i.ytimg.com/vi/KNwMiydCYA4/mqdefault.jpg,2025-12-05,15,15:00:03,3803
T6tCY6SOSXo,Does Legalizing Drugs Help?,2025-12-04 15:00:57+00:00,00:01:30,2428289,182444,2541,https://i.ytimg.com/vi/T6tCY6SOSXo/mqdefault.jpg,2025-12-04,15,15:00:57,90
zozEm4f_dlw,Astronomy Is In Crisis...And It's Incredibly Exciting,2025-12-02 15:00:05+00:00,00:11:28,5004124,220264,13910,https://i.ytimg.com/vi/zozEm4f_dlw/mqdefault.jpg,2025-12-02,15,15:00:05,688
omNvSHfIv7s,Will Fungi Infect Us All?,2025-11-27 15:01:45+00:00,00:00:56,2215093,94098,1501,https://i.ytimg.com/vi/omNvSHfIv7s/mqdefault.jpg,2025-11-27,15,15:01:45,56
